Word,Level,Category,Details
argument,B2,communication,/american-english/words/usdetail/304
agreement,B2,communication,/american-english/words/usdetail/140
arrangement,B2,communication,/american-english/words/usdetail/314
achievement,B1,people: actions,/american-english/words/usdetail/57
adjustment,B2,people: actions,/american-english/words/usdetail/88
assessment,B2,people: actions,/american-english/words/usdetail/343
amazement,B2,people: personality,/american-english/words/usdetail/196
amusement,B2,people: personality,/american-english/words/usdetail/213
astonishment,B2,people: personality,/american-english/words/usdetail/358
attachment,B2,technology,/american-english/words/usdetail/368
appointment,C2,work,/american-english/words/usdetail/285
blindness,C1,body and health,/american-english/words/usdetail/564
carelessness,B2,people: personality,/american-english/words/usdetail/787
cheerfulness,C2,people: personality,/american-english/words/usdetail/883
coldness,C2,people: personality,/american-english/words/usdetail/997
anchor,C2,arts and media,/american-english/words/usdetail/223
collector,B2,people: actions,/american-english/words/usdetail/1005
ancestor,B2,relationships,/american-english/words/usdetail/222
championship,B1,shopping,/american-english/words/usdetail/852
bravery,B2,people: personality,/american-english/words/usdetail/634
addiction,B2,body and health,/american-english/words/usdetail/78
abortion,C1,body and health,/american-english/words/usdetail/9
animal,A1,animals,/american-english/words/usdetail/231
bird,A1,animals,/american-english/words/usdetail/545
cat,A1,animals,/american-english/words/usdetail/807
baby,A2,animals,/american-english/words/usdetail/408
bear,A2,animals,/american-english/words/usdetail/484
chicken,A2,animals,/american-english/words/usdetail/896
ant,B1,animals,/american-english/words/usdetail/247
bat,B1,animals,/american-english/words/usdetail/471
bee,B1,animals,/american-english/words/usdetail/495
bug,B1,animals,/american-english/words/usdetail/682
bull,B1,animals,/american-english/words/usdetail/689
butterfly,B1,animals,/american-english/words/usdetail/720
cage,B1,animals,/american-english/words/usdetail/734
calf,B1,animals,/american-english/words/usdetail/740
camel,B1,animals,/american-english/words/usdetail/744
breed,B2,animals,/american-english/words/usdetail/646
cell,B2,animals,/american-english/words/usdetail/828
collar,B2,animals,/american-english/words/usdetail/1001
beak,C1,animals,/american-english/words/usdetail/481
bark,B2,animals,/american-english/words/usdetail/458
breed,B2,animals,/american-english/words/usdetail/646
ad,A1,arts and media,/american-english/words/usdetail/72
band,A1,arts and media,/american-english/words/usdetail/442
book,A1,arts and media,/american-english/words/usdetail/594
camera,A1,arts and media,/american-english/words/usdetail/745
cartoon,A2,arts and media,/american-english/words/usdetail/796
cartoon,A2,arts and media,/american-english/words/usdetail/796
channel,A2,arts and media,/american-english/words/usdetail/857
clown,A2,arts and media,/american-english/words/usdetail/972
act,B1,arts and media,/american-english/words/usdetail/64
album,B1,arts and media,/american-english/words/usdetail/156
article,B1,arts and media,/american-english/words/usdetail/321
audience,B1,arts and media,/american-english/words/usdetail/384
